id,_id,sensor_ver,msg_ver,sensorID,macAddr,battery,temp,hPa,acc_x,acc_y,acc_z,vector,rssi,time,packetnum,krTime
159,2022-08-01 2:07,N,4,19,60:A4:23:D4:5D:84,3,34.8,1029,22,34,20,51,69,2022-08-01 2:07,91,2022-08-01 11:07
160,2022-08-01 2:08,N,4,13,60:A4:23:C9:A0:3E,3,32,1023,20,24,17,41,67,2022-08-01 2:08,92,2022-08-01 11:08
161,2022-08-01 2:10,N,4,14,60:A4:23:C9:A0:2F,3.1,32.4,1016,19,20,16,37,64,2022-08-01 2:10,92,2022-08-01 11:10
162,2022-08-01 2:11,N,4,11,60:A4:23:C9:A0:9B,3,33.8,1010,8,11,10,20,73,2022-08-01 2:11,93,2022-08-01 11:11
163,2022-08-01 2:12,N,4,15,60:A4:23:C9:A0:3B,3,30.8,1026,19,25,18,42,66,2022-08-01 2:12,92,2022-08-01 11:12
164,2022-08-01 2:12,V,3,001A,60:A4:23:7C:A5:F3,1.1,27.9,1014,4,4,6,10,90,2022-08-01 2:12,86,2022-08-01 11:12
165,2022-08-01 2:12,N,4,12,60:A4:23:C9:A0:4D,3,29.4,1022,22,37,27,59,75,2022-08-01 2:12,93,2022-08-01 11:12
166,2022-08-01 2:12,N,4,16,60:A4:23:D4:5D:A3,3.1,31.5,1006,12,12,12,24,80,2022-08-01 2:12,92,2022-08-01 11:13
167,2022-08-01 2:14,N,4,17,60:A4:23:D4:5D:C7,3.1,31.3,1009,21,22,17,41,74,2022-08-01 2:14,92,2022-08-01 11:14
168,2022-08-01 2:15,V,3,001C,60:A4:23:7F:49:30,1.3,29.7,1014,4,4,6,10,86,2022-08-01 2:15,57,2022-08-01 11:15
169,2022-08-01 2:15,N,4,18,60:A4:23:C9:A0:E3,3.1,32.3,1006,16,23,16,37,71,2022-08-01 2:15,92,2022-08-01 11:15
170,2022-08-01 2:15,V,3,001D,60:A4:23:7F:3D:52,1.4,25.2,1014,4,4,6,10,90,2022-08-01 2:15,87,2022-08-01 11:15
171,2022-08-01 2:16,N,4,10,60:A4:23:C9:A0:4C,3,30.8,1006,25,28,18,48,85,2022-08-01 2:16,94,2022-08-01 11:16
172,2022-08-01 2:17,N,4,19,60:A4:23:D4:5D:84,3,34.2,1029,83,111,81,183,66,2022-08-01 2:17,92,2022-08-01 11:17
